       check_sbf(-5,-5) =  2.3065103960E-03
       check_sbf( 1,-4) =  2.0658455302E-03
       check_sbf( 1,-3) =  2.0658455302E-03
       check_sbf( 1,-2) =  2.0658455302E-03
       check_sbf( 1,-1) =  8.9796617075E-03
       check_sbf( 1, 0) =  1.3205480855E-01
       check_sbf( 1, 1) =  2.3065103960E-03
       check_sbf( 1, 2) =  2.0658455302E-03
       check_sbf( 1, 3) =  2.0658455302E-03
       check_sbf( 1, 4) =  2.0658455302E-03
       check_sbf( 1, 5) =  2.0658455302E-03
       check_sbf( 2,-5) =  2.0658455302E-03
       check_sbf( 2,-4) =  2.0658455302E-03
       check_sbf( 2,-3) =  2.0658455302E-03
       check_sbf( 2,-2) =  8.9796617075E-03
       check_sbf( 2,-1) =  2.0658455302E-03
       check_sbf( 2, 0) =  1.3205480855E-01
       check_sbf( 2, 1) =  2.0658455302E-03
       check_sbf( 2, 2) =  2.3065103960E-03
       check_sbf( 2, 3) =  2.0658455302E-03
       check_sbf( 2, 4) =  2.0658455302E-03
       check_sbf( 2, 5) =  2.0658455302E-03
       check_sbf( 3,-5) =  2.0658455302E-03
       check_sbf( 3,-4) =  2.0658455302E-03
       check_sbf( 3,-3) =  8.9796617075E-03
       check_sbf( 3,-2) =  2.0658455302E-03
       check_sbf( 3,-1) =  2.0658455302E-03
       check_sbf( 3, 0) =  1.3205480855E-01
       check_sbf( 3, 1) =  2.0658455302E-03
       check_sbf( 3, 2) =  2.0658455302E-03
       check_sbf( 3, 3) =  2.3065103960E-03
       check_sbf( 3, 4) =  2.0658455302E-03
       check_sbf( 3, 5) =  2.0658455302E-03
       check_sbf( 4,-5) =  2.0658455302E-03
       check_sbf( 4,-4) =  8.9796617075E-03
       check_sbf( 4,-3) =  2.0658455302E-03
       check_sbf( 4,-2) =  2.0658455302E-03
       check_sbf( 4,-1) =  2.0658455302E-03
       check_sbf( 4, 0) =  1.3205480855E-01
       check_sbf( 4, 1) =  2.0658455302E-03
       check_sbf( 4, 2) =  2.0658455302E-03
       check_sbf( 4, 3) =  2.0658455302E-03
       check_sbf( 4, 4) =  2.3065103960E-03
       check_sbf( 4, 5) =  2.0658455302E-03
       check_sbf( 5,-5) =  8.9796617075E-03
       check_sbf( 5,-4) =  2.0658455302E-03
       check_sbf( 5,-3) =  2.0658455302E-03
       check_sbf( 5,-2) =  2.0658455302E-03
       check_sbf( 5,-1) =  2.0658455302E-03
       check_sbf( 5, 0) =  1.3205480855E-01
       check_sbf( 5, 1) =  2.0658455302E-03
       check_sbf( 5, 2) =  2.0658455302E-03
       check_sbf( 5, 3) =  2.0658455302E-03
       check_sbf( 5, 4) =  2.0658455302E-03
       check_sbf( 5, 5) =  2.3065103960E-03
